Time,Error,Angle
98,-15.30703,8.759264
199,-14.61797,5.83567
300,-14.07656,3.044976
398,-13.14141,0.4626725
498,-10.08984,-1.410576
596,-7.875,-2.869092
692,0.39375,-2.383728
788,1.624219,-1.969438
884,2.854688,-1.332473
982,4.380468,-0.3786873
1080,5.266406,0.722235
1177,6.250781,2.022897
1273,6.792188,3.410956
1371,6.053906,4.588812
1470,5.709375,5.712132
1569,6.053906,6.937502
1669,5.266406,7.955055
1768,4.725,8.872087
1867,5.364843,9.972629
1966,4.577344,10.85334
2066,4.725,11.80261
2167,4.380468,12.66306
2268,2.657813,13.11516
2370,1.624219,13.38677
2471,1.525781,13.68352
2572,0.6890625,13.78268
2673,-0.2953125,13.67562
2775,-1.033594,13.43152
2877,-1.624219,13.07711
2978,-2.460938,12.54474
3081,-3.396094,11.8205
3184,-4.675781,10.82444
3286,-5.610937,9.654896
3389,-7.0875,8.167462
3490,-6.69375,6.841556
3588,-2.313281,6.588551
3689,-4.380468,5.632907
3789,-6.546094,4.2185
3889,-7.628906,2.634815
3990,-8.859375,0.801683
4089,-9.548437,-1.144433
4188,-10.48359,-3.288016
4287,-11.22187,-5.570391
4384,-10.82813,-7.720289
4483,-11.12344,-9.957731
4580,-10.58203,-12.04955
4677,-11.07422,-14.28597
4771,-9.548437,-16.12252
4867,-9.991405,-18.13666
4962,-9.253124,-19.95299
5057,-7.776563,-21.43395
5153,-6.890625,-22.7633
5250,-6.447657,-24.02803
5346,-5.758594,-25.14504
5444,-4.085156,-25.87972
5541,-5.807813,-27.11639
5639,-6.742969,-28.51475
5736,-6.250781,-29.74505
5833,-7.825781,-31.38303
5931,-7.924219,-32.97809
6028,-7.48125,-34.45401
6124,-8.071875,-36.09498
6222,-7.284375,-37.51635
6318,-7.382813,-38.99492
6416,-7.382813,-40.47163
6513,-6.841406,-41.81388
6611,-5.610937,-42.87605
6709,-4.232813,-43.65372
6809,-4.232813,-44.49516
6908,-3.839063,-45.24418
7008,-3.986719,-46.04693
7107,-4.232813,-46.9054
7208,-3.642188,-47.6076
7310,-3.642188,-48.33414
7412,-2.953125,-48.89329
7515,-1.821094,-49.20424
7618,-0.6890625,-49.28672
7721,-0.39375,-49.34835
7824,0.0984375,-49.30505
7927,0.6398437,-49.15099
8029,1.328906,-48.85228
8132,2.214844,-48.36665
8234,3.15,-47.69104
8336,3.986719,-46.85272
8439,5.069531,-45.78661
8543,6.201563,-44.49203
8644,5.660156,-43.38069
8742,3.839063,-42.70037
8843,4.823438,-41.69654
8942,5.315625,-40.60749
9041,5.660156,-39.45759
9141,6.644531,-38.08134
9240,7.333593,-36.57889
9338,7.825781,-34.98782
9436,6.989062,-33.62755
9535,6.939844,-32.24467
9633,7.628906,-30.68676
9733,8.6625,-28.90448
9832,8.859375,-27.1197
9933,10.04062,-25.05643
10033,9.154688,-23.2628
10134,9.351563,-21.38618
10234,9.400782,-19.5033
10334,9.892969,-17.5015
10434,9.499218,-15.61818
10532,10.77891,-13.40381
10630,10.72969,-11.25577
10728,9.696095,-9.364716
10825,9.84375,-7.392583
10922,10.38516,-5.289503
11019,9.892969,-3.332588
11116,9.351563,-1.489452
11213,8.859375,0.2566707
11311,8.170313,1.856283
11407,8.317968,3.524342
11503,8.022655,5.115011
11600,7.185938,6.511674
11700,6.103125,7.678665
11799,5.364843,8.713488
11899,5.020312,9.698606
11998,4.429688,10.55552
12098,4.823438,11.53616
12198,4.921875,12.52627
12299,4.085156,13.30497
12400,1.821094,13.5625
12501,1.427344,13.82234
12603,-0.0984375,13.73076
12704,-0.7382813,13.54849
12807,-1.18125,13.2898
12909,-2.165625,12.81029
13011,-2.707031,12.24091
13113,-3.839063,11.42008
13215,-5.167969,10.32222
13319,-6.496875,8.958349
13422,-7.432032,7.425595
13522,-6.595312,6.141869
13623,-3.986719,5.467945
13724,-7.284375,3.868757
13825,-7.530469,2.340976
13924,-8.6625,0.554448
14025,-9.646875,-1.4245
14124,-9.794531,-3.393997
14220,-9.646875,-5.317141
14317,-10.18828,-7.380116
14415,-10.13906,-9.407504
14512,-10.48359,-11.5206
14608,-9.892969,-13.47204
14701,-9.253124,-15.28917
14797,-9.400782,-17.17387
14891,-7.48125,-18.57634
14987,-9.00703,-20.44459
15083,-5.857031,-21.46961
15180,-7.382813,-23.00776
15276,-5.857031,-24.11115
15373,-5.414063,-25.16745
15470,-4.823438,-26.10199
15567,-6.3,-27.42941
15665,-6.939844,-28.85297
15762,-7.382813,-30.35333
15859,-8.514843,-32.1115
15957,-7.776563,-33.63583
16053,-7.973438,-35.23755
16150,-8.6625,-37.00341
16247,-7.530469,-38.4581
16345,-6.989062,-39.82623
16441,-6.644531,-41.13647
16539,-6.053906,-42.3177
16638,-5.167969,-43.30767
16737,-4.33125,-44.13196
16837,-3.494531,-44.78902
16937,-3.888281,-45.58183
17037,-4.232813,-46.44562
17137,-4.134375,-47.26924
17239,-3.740625,-47.99905
17340,-3.051562,-48.57671
17443,-1.673438,-48.84637
17546,-1.525781,-49.14021
17648,-0.2953125,-49.1425
17751,-0.196875,-49.17337
17854,0.4429688,-49.05533
17956,1.082813,-48.80754
18058,1.722656,-48.43194
18160,2.411719,-47.91601
18262,3.297656,-47.21376
18365,4.429688,-46.27326
18467,5.660156,-45.08187
18570,6.546094,-43.72807
18669,5.020312,-42.79138
18769,3.396094,-42.1931
18868,3.9375,-41.38649
18967,4.774219,-40.39111
19066,5.90625,-39.15393
19165,6.742969,-37.76206
19264,7.530469,-36.21555
19363,8.268749,-34.52428
19461,7.333593,-33.09849
19559,6.398438,-31.86601
19658,7.382813,-30.34654
19758,8.6625,-28.55161
19858,9.154688,-26.69352
19959,9.646875,-24.73958
20061,9.203907,-22.91733
20164,9.745312,-20.9452
20265,9.745312,-18.99446
20365,10.13906,-16.94828
20464,10.33594,-14.87062
20563,10.68047,-12.71764
20661,10.63125,-10.59246
20758,9.942188,-8.636617
20857,9.302343,-6.808789
20954,10.28672,-4.707026
21051,9.892969,-2.743822
21148,9.84375,-0.7785839
21244,8.810156,0.9334663
21341,7.628906,2.399752
21438,7.875,3.981965
21536,7.333593,5.423677
21634,6.841406,6.766616
21733,6.053906,7.939056
21833,5.5125,9.013394
21933,4.971094,9.980462
22032,4.33125,10.81478
22132,4.577344,11.73921
22233,4.429688,12.61897
22333,3.986719,13.39554
22434,1.96875,13.69516
22536,1.722656,14.02153
22638,0.04921875,13.95396
22739,-0.5414063,13.81293
22841,-1.279687,13.52105
22943,-2.067187,13.06954
23045,-3.051562,12.41172
23148,-4.232813,11.50852
23251,-5.610937,10.31956
23354,-6.989062,8.85486
23457,-8.022655,7.198956
23559,-8.268749,5.530432
23658,-5.414063,4.581219
23757,-4.872656,3.641937
23857,-7.727344,1.968043
23957,-9.00703,0.09790218
24056,-9.351563,-1.79363
24154,-9.892969,-3.799366
24252,-10.48359,-5.925994
24349,-10.38516,-8.000604
24447,-10.58203,-10.12621
24542,-10.08984,-12.12121
24638,-10.53281,-14.2475
24731,-8.317968,-15.80402
24825,-7.875,-17.34864
24920,-8.170313,-18.9947
25016,-8.268749,-20.65405
25111,-6.546094,-21.88004
25207,-4.774219,-22.7433
25304,-6.201563,-24.04466
25402,-6.792188,-25.43586
25499,-5.414063,-26.45551
25597,-6.644531,-27.83774
25693,-6.742969,-29.19506
25791,-6.841406,-30.5687
25889,-8.170313,-32.26587
25986,-7.136719,-33.64876
26083,-8.022655,-35.29176
26180,-8.564062,-37.03328
26277,-7.579687,-38.5045
26374,-7.0875,-39.8949
26471,-6.792188,-41.23722
26568,-6.250781,-42.46061
26667,-5.020312,-43.4046
26765,-4.626562,-44.30704
26865,-3.54375,-44.96347
26966,-4.085156,-45.80152
27065,-4.478907,-46.71709
27166,-4.232813,-47.55371
27267,-3.346875,-48.18208
27369,-3.15,-48.80016
27472,-1.771875,-49.09101
27574,-0.6398437,-49.16291
27676,-0.4921875,-49.25067
27779,0.04921875,-49.21566
27882,0.5414063,-49.08318
27984,1.132031,-48.82842
28086,1.870313,-48.41873
28189,2.707031,-47.8367
28291,3.691406,-47.05115
28394,4.528125,-46.10405
28496,5.709375,-44.90546
28598,6.841406,-43.48211
28699,5.610937,-42.41285
28797,3.839063,-41.73262
28895,3.592969,-41.03205
28996,5.217188,-39.91539
29096,5.955469,-38.68434
29195,7.579687,-37.0895
29294,8.022655,-35.45839
29391,6.496875,-34.22969
29490,6.496875,-32.93557
29587,6.989062,-31.51493
29687,8.022655,-29.86038
29787,8.760937,-28.07031
29886,9.253124,-26.19386
29987,10.13906,-24.12351
30087,9.450001,-22.26202
30188,9.84375,-20.27728
30288,9.05625,-18.50166
30387,9.154688,-16.66877
30486,10.68047,-14.4612
30585,11.12344,-12.21049
30682,10.82813,-10.05696
30779,10.08984,-8.074738
30876,9.646875,-6.169175
30975,10.43438,-4.047258
31073,9.302343,-2.23806
31171,8.760937,-0.5152719
31268,8.367188,1.137179
31365,8.121094,2.748083
31461,8.121094,4.371293
31559,6.939844,5.703444
31659,6.595312,7.002248
31758,6.053906,8.186213
31856,4.774219,9.079239
31956,5.90625,10.30881
32055,4.872656,11.23903
32155,5.217188,12.29516
32255,4.971094,13.27882
32355,3.15,13.82448
32457,2.017969,14.16996
32558,0.590625,14.21898
32660,0.3445313,14.27155
32762,-0.196875,14.20637
32864,-1.033594,13.95974
32965,-1.870313,13.54474
33067,-2.559375,12.99857
33171,-3.888281,12.15857
33274,-5.315625,11.02665
33378,-6.742969,9.609426
33481,-9.302343,7.629777
33581,-8.071875,6.064056
33678,-5.5125,5.085984
33779,-8.022655,3.374368
33878,-7.875,1.798313
33979,-8.564062,0.05350947
34077,-9.942188,-2.001732
34175,-10.28672,-4.080351
34272,-10.04062,-6.078268
34370,-10.53281,-8.20729
34467,-10.82813,-10.38854
34564,-10.53281,-12.48209
34659,-9.548437,-14.34297
34752,-8.564062,-16.0037
34847,-9.203907,-17.87152
34942,-8.613281,-19.56759
35037,-7.973438,-21.12915
35133,-6.792188,-22.42824
35229,-5.463282,-23.45243
35327,-6.004687,-24.67378
35424,-4.774219,-25.57155
35521,-5.709375,-26.75365
35619,-7.333593,-28.30004
35715,-5.758594,-29.3821
35813,-8.514843,-31.2099
35911,-8.416407,-32.89796
36008,-7.530469,-34.3626
36105,-7.924219,-35.96306
36202,-8.268749,-37.63458
36299,-7.678125,-39.14341
36396,-7.0875,-40.53103
36493,-6.742969,-41.86076
36591,-5.857031,-42.98935
36690,-4.282031,-43.76822
36789,-3.691406,-44.47343
36888,-3.691406,-45.20925
36988,-3.9375,-46.00797
37089,-4.478907,-46.92941
37191,-3.642188,-47.62133
37292,-3.592969,-48.33504
37395,-2.165625,-48.7029
37496,-1.624219,-48.99814
37599,-1.476563,-49.28467
37700,-0.590625,-49.3615
37802,-0.0,-49.33192
37905,0.5414063,-49.19688
38007,1.18125,-48.9296
38109,1.821094,-48.53404
38211,2.707031,-47.95008
38312,3.691406,-47.16396
38415,4.872656,-46.13225
38517,5.758594,-44.93651
38620,6.939844,-43.49164
38721,5.709375,-42.40207
38820,4.528125,-41.55501
38918,3.740625,-40.84845
39018,4.921875,-39.81194
39118,6.250781,-38.497
39217,6.841406,-37.09598
39316,8.022655,-35.43433
39414,6.989062,-34.08142
39513,6.595312,-32.78411
39611,7.776563,-31.1752
39711,8.268749,-29.49445
39811,9.450001,-27.54775
39912,9.745312,-25.581
40013,10.43438,-23.46151
40114,9.450001,-21.61469
